Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,178.539993,183.500000,164.940002,167.779999,165.972290,713010900
2018-04-01,166.639999,178.940002,160.630005,165.259995,163.479431,666057900
2018-05-01,166.410004,190.369995,165.270004,186.869995,184.856613,620976300
2018-06-01,187.990005,194.199997,180.729996,185.110001,183.821686,527624500
2018-07-01,183.820007,195.960007,183.419998,190.289993,188.965622,393691400
2018-08-01,199.130005,228.869995,197.309998,227.630005,226.045761,700273700
2018-09-01,228.410004,229.669998,215.300003,225.740005,224.955093,678972000
2018-10-01,227.949997,233.470001,206.089996,218.860001,218.099014,789748500
2018-11-01,219.050003,222.360001,170.259995,178.580002,177.959076,961326400
2018-12-01,184.460007,184.940002,146.589996,157.740005,157.740005,898922500
2019-01-01,154.889999,169.000000,142.000000,166.440002,166.440002,828087400
2019-02-01,166.960007,175.570007,165.929993,170.940002,170.940002,160192900
2019-02-07,172.399994,173.929993,170.339996,170.940002,170.940002,31741690
