Column1;text;date;screen_name
88;¿Tiene algo que ver la velocidad de la luz con la calidad del streaming? Que le pregunten al CEO de #NVIDIA https://t.co/mUP0Fj91Tg;Wed Jan 16 23:49:40 +0000 2019;AlfaBetaJuega
89;"??Esta #IA puede imaginar todo un mundo...;) digital a partir de un dibujo ??????(1+1) =¥ º??
https://t.co/CTxRrqUSom…… https://t.co/3vIZGB0Dve";Wed Jan 16 23:49:40 +0000 2019;maria_freiria
90;"Una nueva #IA capaz de acelerar y crear gráficos hiper realistas. Preocupa la última frase del artículo: ""su avance… https://t.co/1dMPgryHFm";Wed Jan 16 23:49:40 +0000 2019;Jastorquiza
91;"Esta #IA puede imaginar todo un mundo digital a partir de un dibujo 

#Tecnología #Nvidia #InteligenciaArtificial… https://t.co/js8cztlzgo";Wed Jan 16 23:49:40 +0000 2019;s_sufan
92;"Esta #IA puede imaginar todo un mundo digital a partir de un dibujo 
https://t.co/nMuBP87qbs #Tecnología #Nvidia… https://t.co/nGvALG20fS";Wed Jan 16 23:49:40 +0000 2019;agsb_bilbao
93;"RT @techreview_es: Esta #IA puede imaginar todo un mundo digital a partir de un dibujo 
https://t.co/9xLeNk9B2k #Tecnología #Nvidia #Inteli…";Wed Jan 16 23:49:40 +0000 2019;jmarinpu
94;"RT @techreview_es: Esta #IA puede imaginar todo un mundo digital a partir de un dibujo 
https://t.co/9xLeNk9B2k #Tecnología #Nvidia #Inteli…";Wed Jan 16 23:49:40 +0000 2019;alorandi
95;"RT @Saiken_Juega: Hoy traemos un súper anuncio! Lo diré ahorita a las 6:30 pm Hora México :D
Se vienen cosas chidas! Que emoción!
https://t…";Wed Jan 16 23:49:40 +0000 2019;castanoariasjh1
96;"RT @Saiken_Juega: Hoy traemos un súper anuncio! Lo diré ahorita a las 6:30 pm Hora México :D
Se vienen cosas chidas! Que emoción!
https://t…";Wed Jan 16 23:49:40 +0000 2019;NVIDIAGeForceLA
97;"Esta #IA puede imaginar todo un mundo digital a partir de un dibujo 
https://t.co/9xLeNk9B2k #Tecnología #Nvidia… https://t.co/2oTsQpVLm9";Wed Jan 16 23:49:40 +0000 2019;techreview_es
98;"RT @Saiken_Juega: Hoy traemos un súper anuncio! Lo diré ahorita a las 6:30 pm Hora México :D
Se vienen cosas chidas! Que emoción!
https://t…";Wed Jan 16 23:49:40 +0000 2019;AdrianRC111
99;"RT @Saiken_Juega: Hoy traemos un súper anuncio! Lo diré ahorita a las 6:30 pm Hora México :D
Se vienen cosas chidas! Que emoción!
https://t…";Wed Jan 16 23:49:40 +0000 2019;AlexDav88877185
